exp_id,config_code,parameter_setting,direction,feature_rule,alpha,beta,one_minus_alpha_beta,lambda_legal,lambda_severity,tau,case_count,root_case_id_by_score,root_score,tree_edge_count,root_or_unattached_count,coverage_rate,component_count,largest_component,largest_component_rate,max_depth,avg_depth,median_depth,avg_parent_distance,max_parent_distance,max_children_per_node,cycle_count
E01,FI-L,"alpha=0.5, beta=0.3, 1-alpha-beta=0.2, tau=0.100",LH,shared_FUP_activated_feature,0.5,0.3,0.2,0.5,0.5,0.1,6057,73,0.26999998092651367,5944,113,0.9815059445178336,113,1577,0.2603599141489186,13,4.776126795443289,5.0,0.02489387057721615,0.10000000149011612,150,0
E01,FI-L,"alpha=0.5, beta=0.3, 1-alpha-beta=0.2, tau=0.100",HL,shared_FUP_activated_feature,0.5,0.3,0.2,0.5,0.5,0.1,6057,2496,1.0,6003,54,0.9912483487450462,54,2386,0.3939243850090804,14,6.166088822849596,6.0,0.02128671668469906,0.10000000149011612,147,0
E02,FC-L,"alpha=0.5, beta=0.2, 1-alpha-beta=0.3, tau=0.100",LH,shared_FUP_activated_feature,0.5,0.2,0.3,0.5,0.5,0.1,6057,73,0.2549999952316284,5945,112,0.9816710700132101,112,1465,0.24186891200264157,12,4.484398216939079,4.0,0.02693313919007778,0.10000000149011612,150,0
E02,FC-L,"alpha=0.5, beta=0.2, 1-alpha-beta=0.3, tau=0.100",HL,shared_FUP_activated_feature,0.5,0.2,0.3,0.5,0.5,0.1,6057,2496,1.0,5998,59,0.9904227212681638,59,3265,0.5390457322106653,14,6.720158494304111,7.0,0.022466378286480904,0.10000000149011612,147,0
E03,IF-L,"alpha=0.3, beta=0.5, 1-alpha-beta=0.2, tau=0.100",LH,shared_FUP_activated_feature,0.3,0.5,0.2,0.5,0.5,0.1,6057,73,0.23000000417232513,5932,125,0.9795244385733157,125,1164,0.19217434373452205,14,4.877662209014364,5.0,0.02591888979077339,0.10000000149011612,151,0
E03,IF-L,"alpha=0.3, beta=0.5, 1-alpha-beta=0.2, tau=0.100",HL,shared_FUP_activated_feature,0.3,0.5,0.2,0.5,0.5,0.1,6057,2496,1.0,5975,82,0.9866248348745046,82,1567,0.2587089318144296,15,5.797589565791646,6.0,0.02235439419746399,0.10000000149011612,148,0
E04,CF-L,"alpha=0.3, beta=0.2, 1-alpha-beta=0.5, tau=0.100",LH,shared_FUP_activated_feature,0.3,0.2,0.5,0.5,0.5,0.1,6057,73,0.18500001728534698,5891,166,0.9727542932628798,166,1506,0.24863793957404656,13,4.663034505530791,5.0,0.030334550887346268,0.10000000149011612,150,0
E04,CF-L,"alpha=0.3, beta=0.2, 1-alpha-beta=0.5, tau=0.100",HL,shared_FUP_activated_feature,0.3,0.2,0.5,0.5,0.5,0.1,6057,2496,1.0,5960,97,0.9841479524438573,97,2760,0.4556711243189698,16,6.765230312035661,7.0,0.026117311790585518,0.10000000149011612,147,0
E05,IC-L,"alpha=0.2, beta=0.5, 1-alpha-beta=0.3, tau=0.100",LH,shared_FUP_activated_feature,0.2,0.5,0.3,0.5,0.5,0.1,6057,73,0.19500000774860382,5929,128,0.9790290620871862,128,2185,0.3607396400858511,13,5.252930493643718,5.0,0.03271378204226494,0.10000000149011612,152,0
E05,IC-L,"alpha=0.2, beta=0.5, 1-alpha-beta=0.3, tau=0.100",HL,shared_FUP_activated_feature,0.2,0.5,0.3,0.5,0.5,0.1,6057,2496,1.0,5965,92,0.9849735799207398,92,1207,0.19927356777282484,14,6.347201584943041,6.0,0.025225764140486717,0.10000000149011612,148,0
