2025-03-11 10:33:59 - 成功連接至 Neo4j 資料庫
2025-03-11 10:33:59 - 讀取 Excel 檔案: 整合_起訴書_四段(FINAL).xlsx
2025-03-11 10:34:00 - 開始建立知識圖譜...
2025-03-11 10:34:01 - ✅ 已建立案件 1 之知識圖譜
2025-03-11 10:34:01 - ✅ 已建立案件 2 之知識圖譜
2025-03-11 10:34:01 - ✅ 已建立案件 3 之知識圖譜
2025-03-11 10:34:01 - ✅ 已建立案件 4 之知識圖譜
2025-03-11 10:34:01 - ✅ 已建立案件 5 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 6 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 7 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 8 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 9 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 10 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 11 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 12 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 13 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 14 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 15 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 16 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 17 之知識圖譜
2025-03-11 10:34:02 - ✅ 已建立案件 18 之知識圖譜
2025-03-11 10:34:03 - ✅ 已建立案件 19 之知識圖譜
2025-03-11 10:34:03 - ✅ 已建立案件 20 之知識圖譜
2025-03-11 10:34:03 - ✅ 已建立案件 21 之知識圖譜
2025-03-11 10:34:03 - ✅ 已建立案件 22 之知識圖譜
2025-03-11 10:34:03 - ✅ 已建立案件 23 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 24 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 25 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 26 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 27 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 28 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 29 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 30 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 31 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 32 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 33 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 34 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 35 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 36 之知識圖譜
2025-03-11 10:34:04 - ✅ 已建立案件 37 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 38 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 39 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 40 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 41 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 42 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 43 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 44 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 45 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 46 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 47 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 48 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 49 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 50 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 51 之知識圖譜
2025-03-11 10:34:05 - ✅ 已建立案件 52 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 53 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 54 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 55 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 56 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 57 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 58 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 59 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 60 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 61 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 62 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 63 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 64 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 65 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 66 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 67 之知識圖譜
2025-03-11 10:34:06 - ✅ 已建立案件 68 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 69 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 70 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 71 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 72 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 73 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 74 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 75 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 76 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 77 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 78 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 79 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 80 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 81 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 82 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 83 之知識圖譜
2025-03-11 10:34:07 - ✅ 已建立案件 84 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 85 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 86 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 87 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 88 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 89 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 90 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 91 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 92 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 93 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 94 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 95 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 96 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 97 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 98 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 99 之知識圖譜
2025-03-11 10:34:08 - ✅ 已建立案件 100 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 101 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 102 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 103 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 104 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 105 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 106 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 107 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 108 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 109 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 110 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 111 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 112 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 113 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 114 之知識圖譜
2025-03-11 10:34:09 - ✅ 已建立案件 115 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 116 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 117 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 118 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 119 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 120 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 121 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 122 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 123 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 124 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 125 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 126 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 127 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 128 之知識圖譜
2025-03-11 10:34:10 - ✅ 已建立案件 129 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 130 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 131 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 132 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 133 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 134 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 135 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 136 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 137 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 138 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 139 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 140 之知識圖譜
2025-03-11 10:34:11 - ✅ 已建立案件 141 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 142 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 143 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 144 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 145 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 146 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 147 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 148 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 149 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 150 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 151 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 152 之知識圖譜
2025-03-11 10:34:12 - ✅ 已建立案件 153 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 154 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 155 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 156 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 157 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 158 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 159 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 160 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 161 之知識圖譜
2025-03-11 10:34:13 - ✅ 已建立案件 162 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 163 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 164 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 165 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 166 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 167 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 168 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 169 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 170 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 171 之知識圖譜
2025-03-11 10:34:14 - ✅ 已建立案件 172 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 173 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 174 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 175 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 176 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 177 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 178 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 179 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 180 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 181 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 182 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 183 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 184 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 185 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 186 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 187 之知識圖譜
2025-03-11 10:34:15 - ✅ 已建立案件 188 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 189 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 190 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 191 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 192 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 193 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 194 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 195 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 196 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 197 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 198 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 199 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 200 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 201 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 202 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 203 之知識圖譜
2025-03-11 10:34:16 - ✅ 已建立案件 204 之知識圖譜
2025-03-11 10:34:17 - ✅ 已建立案件 205 之知識圖譜
2025-03-11 10:34:17 - ✅ 已建立案件 206 之知識圖譜
2025-03-11 10:34:17 - ✅ 已建立案件 207 之知識圖譜
2025-03-11 10:34:17 - ✅ 已建立案件 208 之知識圖譜
