exp_id,label,parameter_setting,fact_w,injury_w,comp_w,litigant_w,distance_threshold,case_count,root_case_id,root_score,cases_with_parent,cases_without_parent,parent_links,hop1_links,hop2_links,avg_hop1_per_case,avg_hop2_per_case,avg_parent_distance,avg_hop1_distance,avg_hop2_distance,avg_case_score,parent_coverage_rate,has_outgoing_count,has_outgoing_rate,isolated_count,isolated_rate,component_count,largest_component,largest_component_rate
E01,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.075","α=0.5, β=0.3, 1-α-β=0.2, τ=0.075",0.5,0.3,0.2,0.1,0.075,6057,2496,1.0,6003,53,6003,17043,0,2.8137691926696387,0.0,0.02187573056287633,0.03703479571075639,0.027431016174790806,0.5207445621490479,0.9910846953937593,5954,0.982994881954763,3,0.0004952947003467063,11,3379,0.5578669308238402
E02,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.100","α=0.5, β=0.3, 1-α-β=0.2, τ=0.100",0.5,0.3,0.2,0.1,0.1,6057,2496,1.0,6037,19,6037,17350,0,2.8644543503384514,0.0,0.02230578274119763,0.03798087163883365,0.029374053524552086,0.5207445621490479,0.996698035331022,6005,0.9914148918606571,0,0.0,2,3614,0.5966650156843322
E03,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.125","α=0.5, β=0.3, 1-α-β=0.2, τ=0.125",0.5,0.3,0.2,0.1,0.125,6057,2496,1.0,6054,2,6054,17403,0,2.873204556711243,0.0,0.022530560046655927,0.038165891278959786,0.031232806254916656,0.5207445621490479,0.9995047052996533,6014,0.9929007759616972,0,0.0,1,6057,1.0
E04,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.075","α=0.5, β=0.2, 1-α-β=0.3, τ=0.075",0.5,0.2,0.3,0.1,0.075,6057,2496,1.0,6003,53,6003,17168,0,2.8344064718507513,0.0,0.023533236478644172,0.03911457123037275,0.04593025665991231,0.5215412378311157,0.9910846953937593,5954,0.982994881954763,3,0.0004952947003467063,10,3379,0.5578669308238402
E05,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.100","α=0.5, β=0.2, 1-α-β=0.3, τ=0.100",0.5,0.2,0.3,0.1,0.1,6057,2496,1.0,6044,12,6044,17381,0,2.8695723955753674,0.0,0.024003973941384642,0.03977701036590671,0.04719868720136537,0.5215412378311157,0.9978537229651643,5995,0.9897639095261681,0,0.0,2,3614,0.5966650156843322
E06,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.125","α=0.5, β=0.2, 1-α-β=0.3, τ=0.125",0.5,0.2,0.3,0.1,0.125,6057,2496,1.0,6054,2,6054,17523,0,2.8930163447251114,0.0,0.024129504227144986,0.04026809246244442,0.04848499364213729,0.5215412378311157,0.9995047052996533,6014,0.9929007759616972,0,0.0,1,6057,1.0
E07,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.075","α=0.3, β=0.5, 1-α-β=0.2, τ=0.075",0.3,0.5,0.2,0.1,0.075,6057,2496,1.0,5982,74,5982,16853,0,2.782400528314347,0.0,0.02174356605437877,0.03679725551465886,0.023059857894606097,0.5178983211517334,0.9876176324913324,5876,0.9701172197457487,5,0.0008254911672445105,14,2165,0.35743767541687305
E08,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.100","α=0.3, β=0.5, 1-α-β=0.2, τ=0.100",0.3,0.5,0.2,0.1,0.1,6057,2496,1.0,6035,21,6035,17235,0,2.8454680534918277,0.0,0.02242088019354045,0.03807253264007914,0.032305489993607606,0.5178983211517334,0.9963678388641242,5965,0.9848109625227011,0,0.0,2,3432,0.566617137196632
E09,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.125","α=0.3, β=0.5, 1-α-β=0.2, τ=0.125",0.3,0.5,0.2,0.1,0.125,6057,2496,1.0,6052,4,6052,17409,0,2.8741951461119366,0.0,0.022653670197319526,0.03868362790595324,0.03601977392179262,0.5178983211517334,0.9991745088327555,6015,0.9930658741951461,0,0.0,1,6057,1.0
E10,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.075","α=0.3, β=0.2, 1-α-β=0.5, τ=0.075",0.3,0.2,0.5,0.1,0.075,6057,2496,1.0,5966,90,5966,16122,0,2.6617137196631995,0.0,0.030206172506315892,0.03908134730030961,0.04367422747231401,0.5202881097793579,0.98497606075615,5609,0.9260359914148919,6,0.0009905894006934125,20,1894,0.31269605415222057
E11,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.100","α=0.3, β=0.2, 1-α-β=0.5, τ=0.100",0.3,0.2,0.5,0.1,0.1,6057,2496,1.0,6049,7,6049,17404,0,2.873369654944692,0.0,0.031029926499964323,0.043380673505791154,0.05479160569083903,0.5202881097793579,0.9986792141324088,5995,0.9897639095261681,0,0.0,1,6057,1.0
E12,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.125","α=0.3, β=0.2, 1-α-β=0.5, τ=0.125",0.3,0.2,0.5,0.1,0.125,6057,2496,1.0,6055,1,6055,17507,0,2.890374772989929,0.0,0.031109830786948553,0.04376442801175061,0.05606317289821365,0.5202881097793579,0.9996698035331022,6015,0.9930658741951461,0,0.0,1,6057,1.0
E13,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.075","α=0.2, β=0.5, 1-α-β=0.3, τ=0.075",0.2,0.5,0.3,0.1,0.075,6057,2496,1.0,5979,77,5979,16983,0,2.803863298662704,0.0,0.02353571172411734,0.048562185867615744,0.03331608874970569,0.5172718167304993,0.9871223377909857,5876,0.9701172197457487,5,0.0008254911672445105,12,2838,0.46854878652798415
E14,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.100","α=0.2, β=0.5, 1-α-β=0.3, τ=0.100",0.2,0.5,0.3,0.1,0.1,6057,2496,1.0,6046,10,6046,17388,0,2.8707280832095097,0.0,0.02432352303595997,0.049615966364729654,0.041476915931190024,0.5172718167304993,0.9981839194320621,5970,0.9856364536899456,0,0.0,2,3432,0.566617137196632
E15,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.125","α=0.2, β=0.5, 1-α-β=0.3, τ=0.125",0.2,0.5,0.3,0.1,0.125,6057,2496,1.0,6052,4,6052,17553,0,2.8979692917285784,0.0,0.024398549294292495,0.05008896491332598,0.04436624956779674,0.5172718167304993,0.9991745088327555,6015,0.9930658741951461,0,0.0,1,6057,1.0
