exp_id,label,short_setting,weight_setting,threshold_label,parameter_setting,fact_w,injury_w,comp_w,litigant_w,distance_threshold,case_count,root_case_id,root_score,parent_coverage_rate,avg_hop1_per_case,avg_hop2_per_case,avg_total_links_per_case,has_outgoing_count,has_outgoing_rate,isolated_count,isolated_rate,component_count,largest_component,largest_component_rate,parent_links,hop1_links,hop2_links,avg_parent_distance,avg_hop1_distance,avg_hop2_distance,avg_case_score
E03,F0.5_I0.3_C0.2_T0.12,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.125","α=0.5, β=0.3, 1-α-β=0.2",tau=0.125,Fact=0.5; Injury=0.3; Compensation=0.2; tau=0.125,0.5,0.3,0.2,0.10,0.125,6057,2496,1.000000,0.999505,2.873205,0.000000,3.872709,6014,0.992901,0,0.000000,1,6057,1.000000,6054,17403,0,0.022531,0.038166,0.031233,0.520745
E02,F0.5_I0.3_C0.2_T0.10,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.100","α=0.5, β=0.3, 1-α-β=0.2",tau=0.100,Fact=0.5; Injury=0.3; Compensation=0.2; tau=0.100,0.5,0.3,0.2,0.10,0.100,6057,2496,1.000000,0.996698,2.864454,0.000000,3.861152,6005,0.991415,0,0.000000,2,3614,0.596665,6037,17350,0,0.022306,0.037981,0.029374,0.520745
E01,F0.5_I0.3_C0.2_T0.07,"α=0.5, β=0.3, 1-α-β=0.2, τ=0.075","α=0.5, β=0.3, 1-α-β=0.2",tau=0.075,Fact=0.5; Injury=0.3; Compensation=0.2; tau=0.075,0.5,0.3,0.2,0.10,0.075,6057,2496,1.000000,0.991085,2.813769,0.000000,3.804854,5954,0.982995,3,0.000495,11,3379,0.557867,6003,17043,0,0.021876,0.037035,0.027431,0.520745
E06,F0.5_I0.2_C0.3_T0.12,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.125","α=0.5, β=0.2, 1-α-β=0.3",tau=0.125,Fact=0.5; Injury=0.2; Compensation=0.3; tau=0.125,0.5,0.2,0.3,0.10,0.125,6057,2496,1.000000,0.999505,2.893016,0.000000,3.892521,6014,0.992901,0,0.000000,1,6057,1.000000,6054,17523,0,0.024130,0.040268,0.048485,0.521541
E05,F0.5_I0.2_C0.3_T0.10,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.100","α=0.5, β=0.2, 1-α-β=0.3",tau=0.100,Fact=0.5; Injury=0.2; Compensation=0.3; tau=0.100,0.5,0.2,0.3,0.10,0.100,6057,2496,1.000000,0.997854,2.869572,0.000000,3.867426,5995,0.989764,0,0.000000,2,3614,0.596665,6044,17381,0,0.024004,0.039777,0.047199,0.521541
E04,F0.5_I0.2_C0.3_T0.07,"α=0.5, β=0.2, 1-α-β=0.3, τ=0.075","α=0.5, β=0.2, 1-α-β=0.3",tau=0.075,Fact=0.5; Injury=0.2; Compensation=0.3; tau=0.075,0.5,0.2,0.3,0.10,0.075,6057,2496,1.000000,0.991085,2.834406,0.000000,3.825491,5954,0.982995,3,0.000495,10,3379,0.557867,6003,17168,0,0.023533,0.039115,0.045930,0.521541
E09,F0.3_I0.5_C0.2_T0.12,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.125","α=0.3, β=0.5, 1-α-β=0.2",tau=0.125,Fact=0.3; Injury=0.5; Compensation=0.2; tau=0.125,0.3,0.5,0.2,0.10,0.125,6057,2496,1.000000,0.999175,2.874195,0.000000,3.873370,6015,0.993066,0,0.000000,1,6057,1.000000,6052,17409,0,0.022654,0.038684,0.036020,0.517898
E08,F0.3_I0.5_C0.2_T0.10,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.100","α=0.3, β=0.5, 1-α-β=0.2",tau=0.100,Fact=0.3; Injury=0.5; Compensation=0.2; tau=0.100,0.3,0.5,0.2,0.10,0.100,6057,2496,1.000000,0.996368,2.845468,0.000000,3.841836,5965,0.984811,0,0.000000,2,3432,0.566617,6035,17235,0,0.022421,0.038073,0.032305,0.517898
E07,F0.3_I0.5_C0.2_T0.07,"α=0.3, β=0.5, 1-α-β=0.2, τ=0.075","α=0.3, β=0.5, 1-α-β=0.2",tau=0.075,Fact=0.3; Injury=0.5; Compensation=0.2; tau=0.075,0.3,0.5,0.2,0.10,0.075,6057,2496,1.000000,0.987618,2.782401,0.000000,3.770018,5876,0.970117,5,0.000825,14,2165,0.357438,5982,16853,0,0.021744,0.036797,0.023060,0.517898
E12,F0.3_I0.2_C0.5_T0.12,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.125","α=0.3, β=0.2, 1-α-β=0.5",tau=0.125,Fact=0.3; Injury=0.2; Compensation=0.5; tau=0.125,0.3,0.2,0.5,0.10,0.125,6057,2496,1.000000,0.999670,2.890375,0.000000,3.890045,6015,0.993066,0,0.000000,1,6057,1.000000,6055,17507,0,0.031110,0.043764,0.056063,0.520288
E11,F0.3_I0.2_C0.5_T0.10,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.100","α=0.3, β=0.2, 1-α-β=0.5",tau=0.100,Fact=0.3; Injury=0.2; Compensation=0.5; tau=0.100,0.3,0.2,0.5,0.10,0.100,6057,2496,1.000000,0.998679,2.873370,0.000000,3.872049,5995,0.989764,0,0.000000,1,6057,1.000000,6049,17404,0,0.031030,0.043381,0.054792,0.520288
E10,F0.3_I0.2_C0.5_T0.07,"α=0.3, β=0.2, 1-α-β=0.5, τ=0.075","α=0.3, β=0.2, 1-α-β=0.5",tau=0.075,Fact=0.3; Injury=0.2; Compensation=0.5; tau=0.075,0.3,0.2,0.5,0.10,0.075,6057,2496,1.000000,0.984976,2.661714,0.000000,3.646690,5609,0.926036,6,0.000991,20,1894,0.312696,5966,16122,0,0.030206,0.039081,0.043674,0.520288
E15,F0.2_I0.5_C0.3_T0.12,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.125","α=0.2, β=0.5, 1-α-β=0.3",tau=0.125,Fact=0.2; Injury=0.5; Compensation=0.3; tau=0.125,0.2,0.5,0.3,0.10,0.125,6057,2496,1.000000,0.999175,2.897969,0.000000,3.897144,6015,0.993066,0,0.000000,1,6057,1.000000,6052,17553,0,0.024399,0.050089,0.044366,0.517272
E14,F0.2_I0.5_C0.3_T0.10,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.100","α=0.2, β=0.5, 1-α-β=0.3",tau=0.100,Fact=0.2; Injury=0.5; Compensation=0.3; tau=0.100,0.2,0.5,0.3,0.10,0.100,6057,2496,1.000000,0.998184,2.870728,0.000000,3.868912,5970,0.985636,0,0.000000,2,3432,0.566617,6046,17388,0,0.024324,0.049616,0.041477,0.517272
E13,F0.2_I0.5_C0.3_T0.07,"α=0.2, β=0.5, 1-α-β=0.3, τ=0.075","α=0.2, β=0.5, 1-α-β=0.3",tau=0.075,Fact=0.2; Injury=0.5; Compensation=0.3; tau=0.075,0.2,0.5,0.3,0.10,0.075,6057,2496,1.000000,0.987122,2.803863,0.000000,3.790986,5876,0.970117,5,0.000825,12,2838,0.468549,5979,16983,0,0.023536,0.048562,0.033316,0.517272
E18,F0.2_I0.3_C0.5_T0.12,"α=0.2, β=0.3, 1-α-β=0.5, τ=0.125","α=0.2, β=0.3, 1-α-β=0.5",tau=0.125,Fact=0.2; Injury=0.3; Compensation=0.5; tau=0.125,0.2,0.3,0.5,0.10,0.125,6057,2496,1.000000,0.999670,2.893842,0.000000,3.893512,6015,0.993066,0,0.000000,1,6057,1.000000,6055,17528,0,0.031211,0.053094,0.064040,0.518865
E17,F0.2_I0.3_C0.5_T0.10,"α=0.2, β=0.3, 1-α-β=0.5, τ=0.100","α=0.2, β=0.3, 1-α-β=0.5",tau=0.100,Fact=0.2; Injury=0.3; Compensation=0.5; tau=0.100,0.2,0.3,0.5,0.10,0.100,6057,2496,1.000000,0.998679,2.884927,0.000000,3.883606,6002,0.990920,0,0.000000,1,6057,1.000000,6049,17474,0,0.031123,0.052904,0.063079,0.518865
E16,F0.2_I0.3_C0.5_T0.07,"α=0.2, β=0.3, 1-α-β=0.5, τ=0.075","α=0.2, β=0.3, 1-α-β=0.5",tau=0.075,Fact=0.2; Injury=0.3; Compensation=0.5; tau=0.075,0.2,0.3,0.5,0.10,0.075,6057,2496,1.000000,0.987948,2.664190,0.000000,3.652138,5602,0.924880,6,0.000991,21,1894,0.312696,5984,16137,0,0.030453,0.049288,0.053608,0.518865
