exp_id,label,recommended_low,recommended_mid,recommended_high,note
E01,F0.5_I0.3_C0.2_T0.20,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E02,F0.5_I0.3_C0.2_T0.25,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E03,F0.5_I0.3_C0.2_T0.30,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E04,F0.5_I0.2_C0.3_T0.20,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E05,F0.5_I0.2_C0.3_T0.25,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E06,F0.5_I0.2_C0.3_T0.30,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E07,F0.3_I0.5_C0.2_T0.20,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E08,F0.3_I0.5_C0.2_T0.25,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E09,F0.3_I0.5_C0.2_T0.30,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E10,F0.3_I0.2_C0.5_T0.20,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E11,F0.3_I0.2_C0.5_T0.25,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E12,F0.3_I0.2_C0.5_T0.30,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E13,F0.2_I0.5_C0.3_T0.20,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E14,F0.2_I0.5_C0.3_T0.25,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E15,F0.2_I0.5_C0.3_T0.30,0.05,0.1,0.125,"low=q10, mid=q20, high=q30"
E16,F0.2_I0.3_C0.5_T0.20,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E17,F0.2_I0.3_C0.5_T0.25,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
E18,F0.2_I0.3_C0.5_T0.30,0.05,0.075,0.125,"low=q10, mid=q20, high=q30"
