case_id,case_type
1,單純原被告各一
2,單純原被告各一
3,單純原被告各一
4,單純原被告各一
5,單純原被告各一
6,單純原被告各一
7,單純原被告各一
8,單純原被告各一
9,單純原被告各一
10,單純原被告各一
11,單純原被告各一
12,單純原被告各一
13,單純原被告各一
14,單純原被告各一
15,單純原被告各一
16,數名原告
17,單純原被告各一
18,單純原被告各一
19,單純原被告各一
20,數名原告
21,單純原被告各一
22,數名被告
23,單純原被告各一
24,單純原被告各一
25,單純原被告各一
26,單純原被告各一
27,數名原告
28,數名原告
29,數名原告
30,單純原被告各一
31,數名原告
32,數名被告+§188僱用人案型
33,單純原被告各一
34,數名被告+§187未成年案型
35,數名被告
36,數名原告
37,單純原被告各一
38,單純原被告各一
39,單純原被告各一
40,單純原被告各一
41,單純原被告各一
42,數名原告
43,單純原被告各一
44,單純原被告各一
45,數名原告
46,單純原被告各一
47,單純原被告各一
48,單純原被告各一
49,數名被告+§187未成年案型
50,單純原被告各一
51,單純原被告各一
52,單純原被告各一
53,單純原被告各一
54,數名原告
55,單純原被告各一
56,單純原被告各一+§187未成年案型
57,單純原被告各一
58,單純原被告各一
59,單純原被告各一
60,單純原被告各一+§187未成年案型
61,單純原被告各一
62,單純原被告各一
63,數名原告
64,單純原被告各一
65,單純原被告各一
66,數名原告
67,單純原被告各一+§190動物案型
68,單純原被告各一
69,單純原被告各一
70,單純原被告各一
71,單純原被告各一
72,單純原被告各一
73,單純原被告各一
74,數名原告
75,數名被告
76,單純原被告各一
77,單純原被告各一
78,數名原告
79,單純原被告各一
80,單純原被告各一
81,單純原被告各一
82,單純原被告各一
83,數名原告
84,單純原被告各一
85,單純原被告各一
86,單純原被告各一
87,單純原被告各一
88,單純原被告各一
89,單純原被告各一
90,單純原被告各一+§188僱用人案型
91,數名被告+§188僱用人案型
92,單純原被告各一
93,單純原被告各一
94,單純原被告各一
95,原被告皆數名+§188僱用人案型
96,原被告皆數名+§188僱用人案型
97,單純原被告各一
98,數名原告
99,單純原被告各一
100,數名被告+§188僱用人案型
101,原被告皆數名
102,單純原被告各一
103,單純原被告各一
104,單純原被告各一
105,單純原被告各一
106,數名被告+§188僱用人案型
107,單純原被告各一
108,單純原被告各一
109,數名被告+§188僱用人案型
110,單純原被告各一
111,單純原被告各一
